epoch,circuit_down
1640995200,0
1640995320,0
1640995440,0
1640995560,0
1640995680,0
1640995800,0
1640995920,0
1640996040,0
1640996160,0
1640996280,0
1640996400,0
1640996520,0
1640996640,0
1640996760,0
1640996880,0
1640997000,0
1640997120,0
1640997240,0
1640997360,0
1640997480,0
1640997600,0
1640997720,0
1640997840,0
1640997960,1
1640998080,1
1640998200,1
1640998320,1
1640998440,1
1640998560,1
1640998680,1
1640998800,0
1640998920,0
1640999040,1
1640999160,1
1640999280,1
1640999400,0
1640999520,0
1640999640,0
1640999760,0
1640999880,0
1641000000,0
1641000120,0
1641000240,0
1641000360,0
1641000480,0
1641000600,0
1641000720,0
1641000840,0
1641000960,0
1641001080,0
1641001200,0
1641001320,0
1641001440,0
1641001560,0
1641001680,0
1641001800,0
1641001920,0
1641002040,0
1641002160,0
1641002280,0
1641002400,0
1641002520,0
1641002640,0
1641002760,0
1641002880,0
1641003000,0
1641003120,0
1641003240,0
1641003360,0
1641003480,0
1641003600,0
1641003720,0
1641003840,0
1641003960,0
1641004080,0
1641004200,0
1641004320,0
1641004440,0
1641004560,0
1641004680,0
1641004800,0
1641004920,0
1641005040,0
1641005160,0
1641005280,0
1641005400,0
1641005520,0
1641005640,0
1641005760,0
1641005880,0
1641006000,0
1641006120,0
1641006240,0
1641006360,0
1641006480,0
1641006600,0
1641006720,0
1641006840,0
1641006960,0
1641007080,0
1641007200,0
1641007320,0
1641007440,0
1641007560,0
1641007680,0
1641007800,0
1641007920,0
1641008040,0
1641008160,0
1641008280,0
1641008400,0
1641008520,0
1641008640,0
1641008760,0
1641008880,0
1641009000,0
1641009120,0
1641009240,0
1641009360,0
1641009480,0
1641009600,0
1641009720,0
1641009840,0
1641009960,0
1641010080,0
1641010200,0
1641010320,0
1641010440,0
1641010560,0
1641010680,0
1641010800,0
1641010920,0
1641011040,0
1641011160,0
1641011280,0
1641011400,1
1641011520,1
1641011640,1
1641011760,0
1641011880,0
1641012000,0
1641012120,0
1641012240,0
1641012360,0
1641012480,0
1641012600,0
1641012720,0
1641012840,0
1641012960,0
1641013080,0
1641013200,0
1641013320,0
1641013440,0
1641013560,0
1641013680,0
1641013800,0
1641013920,0
1641014040,0
1641014160,0
1641014280,0
1641014400,0
1641014520,0
1641014640,0
1641014760,0
1641014880,0
1641015000,0
1641015120,0
1641015240,0
1641015360,0
1641015480,0
1641015600,0
1641015720,0
1641015840,0
1641015960,0
1641016080,0
1641016200,0
1641016320,0
1641016440,0
1641016560,0
1641016680,0
1641016800,0
1641016920,0
1641017040,0
1641017160,0
1641017280,0
1641017400,0
1641017520,0
1641017640,0
1641017760,0
1641017880,0
1641018000,0
1641018120,0
1641018240,0
1641018360,0
1641018480,0
1641018600,0
1641018720,0
1641018840,0
1641018960,0
1641019080,0
1641019200,0
1641019320,0
1641019440,0
1641019560,0
1641019680,0
1641019800,0
1641019920,0
1641020040,0
1641020160,0
1641020280,0
1641020400,0
1641020520,0
1641020640,0
1641020760,0
1641020880,0
1641021000,0
1641021120,0
1641021240,0
1641021360,0
1641021480,0
1641021600,0
1641021720,0
1641021840,0
1641021960,0
1641022080,0
1641022200,0
1641022320,0
1641022440,0
1641022560,0
1641022680,0
1641022800,0
1641022920,0
1641023040,0
1641023160,0
1641023280,0
1641023400,0
1641023520,0
1641023640,0
1641023760,0
1641023880,0
1641024000,0
1641024120,0
1641024240,0
1641024360,0
1641024480,0
1641024600,0
1641024720,0
1641024840,0
1641024960,0
1641025080,0
1641025200,0
1641025320,0
1641025440,0
1641025560,0
1641025680,0
1641025800,0
1641025920,0
1641026040,0
1641026160,0
1641026280,0
1641026400,0
1641026520,0
1641026640,0
1641026760,0
1641026880,0
1641027000,0
1641027120,0
1641027240,0
1641027360,0
1641027480,0
1641027600,0
1641027720,0
1641027840,0
1641027960,0
